Colony,Day,Total,Died,Survived
1,NA,NA,NA,NA
2,11,103,97,NA
3,11,53,53,NA
4,13,80,9,NA
5,13,46,4,NA
6,11,36,22,NA
7,11,96,65,NA
8,11,62,9,NA
9,11,61,47,NA
10,13,78,56,NA
11,13,79,16,NA
12,11,74,55,NA
13,NA,NA,NA,NA
14,11,64,45,NA
15,11,98,89,NA
16,13,74,43,NA
17,NA,NA,NA,NA
18,13,53,12,NA
19,11,78,21,NA
20,11,88,12,NA
21,11,48,9,NA
22,13,72,32,NA
23,13,74,39,NA
24,13,114,106,NA
1,NA,NA,NA,NA
2,21,59,40,NA
3,21,60,38,NA
4,22,115,39,NA
5,22,145,93,NA
6,21,129,112,NA
7,21,49,16,NA
8,21,78,78,NA
9,21,75,46,NA
10,22,127,56,NA
11,22,116,75,NA
12,22,147,96,NA
13,21,87,87,NA
14,21,82,30,NA
15,21,104,75,NA
16,22,56,23,NA
17,22,55,55,NA
18,22,66,30,NA
19,21,112,52,NA
20,21,113,93,NA
21,21,121,83,NA
22,22,60,58,NA
23,22,74,37,NA
24,22,71,0,NA
1,29,105,34,NA
2,29,62,47,NA
3,29,74,44,NA
4,29,60,20,NA
5,NA,NA,NA,NA
6,29,70,56,NA
7,29,75,36,NA
8,29,81,81,NA
9,29,53,46,NA
10,29,58,37,NA
11,29,72,25,NA
12,NA,NA,NA,NA
13,29,64,50,NA
14,29,50,14,NA
15,NA,NA,NA,NA
16,29,50,46,NA
17,NA,NA,NA,NA
18,29,47,22,NA
19,29,74,33,NA
20,NA,NA,NA,NA
21,29,103,44,NA
22,NA,NA,NA,NA
23,29,84,34,NA
24,29,81,48,NA
