Colony,Day,MiteDrop,Time
1,21,50,72
2,21,36,72
3,21,30,72
4,21,12,72
5,21,6,72
6,21,15,72
7,21,4,72
8,21,54,72
9,21,5,72
10,21,3,72
11,21,28,72
12,21,4,72
13,21,5,72
14,21,2,72
15,21,2,72
16,21,5,72
17,21,0,72
18,21,10,72
19,21,7,72
20,21,3,72
21,21,5,72
22,21,4,72
23,21,1,72
24,21,2,72
1,42,7,72
2,42,14,72
3,42,8,72
4,42,29,72
5,42,9,72
6,42,6,72
7,42,6,72
8,42,39,72
9,42,3,72
10,42,2,72
11,42,40,72
12,42,0,72
13,42,0,72
14,42,0,72
15,42,3,72
16,42,7,72
17,42,0,72
18,42,7,72
19,42,3,72
20,42,4,72
21,42,5,72
22,42,18,72
23,42,10,72
24,42,6,72
