Colony,Day,MiteWash,Bees
1,21,4.21,100
2,21,2.75,100
3,21,0.00,100
4,21,0.00,100
5,21,1.52,100
6,21,0.95,100
7,21,0.26,100
8,21,1.40,100
9,21,0.24,100
10,21,0.73,100
11,21,0.78,100
12,21,0.26,100
13,21,0.00,100
14,21,0.00,100
15,21,0.00,100
16,21,0.25,100
17,21,0.00,100
18,21,0.58,100
19,21,0.00,100
20,21,0.00,100
21,21,0.70,100
22,21,0.43,100
23,21,0.88,100
24,21,0.00,100
1,42,1.42,100
2,42,4.79,100
3,42,9.09,100
4,42,3.04,100
5,42,2.02,100
6,42,3.24,100
7,42,5.29,100
8,42,9.31,100
9,42,3.44,100
10,42,1.22,100
11,42,4.23,100
12,42,0.25,100
13,42,0.22,100
14,42,0.89,100
15,42,0.00,100
16,42,4.76,100
17,42,0.00,100
18,42,1.81,100
19,42,3.25,100
20,42,0.20,100
21,42,4.10,100
22,42,2.29,100
23,42,1.28,100
24,42,1.05,100
1,180,2.98,100
2,180,0.78,100
3,180,0.00,100
4,180,4.32,100
5,180,3.13,100
6,180,0.23,100
7,180,0.59,100
8,180,0.00,100
9,180,0.46,100
10,180,0.74,100
11,180,0.00,100
12,180,0.00,100
13,180,0.31,100
14,180,0.28,100
15,180,1.77,100
16,180,0.00,100
17,180,0.00,100
18,180,1.67,100
19,180,2.49,100
20,180,0.00,100
21,180,1.14,100
22,180,0.00,100
23,180,2.93,100
24,180,1.94,100
