Colony,Day,Brood,Bees,Honey,Eggs,Larvae,Assessor
1,0,0.6625,NA,NA,0.225,0.8125,NA
2,0,1.05,NA,NA,0.225,0.3375,NA
3,0,0.75,NA,NA,0.4,0.2625,NA
4,0,0.525,NA,NA,0.4,0.0875,NA
5,0,0.5125,NA,NA,0.1375,0.5875,NA
6,0,0.1625,NA,NA,0.6,0.7625,NA
7,0,0.2375,NA,NA,0.625,0.825,NA
8,0,0.4375,NA,NA,0.7625,0.6125,NA
9,0,0.7875,NA,NA,0.275,0.6875,NA
10,0,0.5,NA,NA,0.3,0.6875,NA
11,0,0.325,NA,NA,0.2125,0.8625,NA
12,0,0.525,NA,NA,0.5,0.45,NA
13,0,0.6,NA,NA,0.225,0.6625,NA
14,0,0.6125,NA,NA,0.6125,0.3,NA
15,0,0.275,NA,NA,0.45,0.6375,NA
16,0,0.35,NA,NA,0.5125,0.5625,NA
17,0,0.7375,NA,NA,0.5375,0.3875,NA
18,0,0.2875,NA,NA,0.375,0.6875,NA
19,0,0.475,NA,NA,0.925,0.275,NA
20,0,0.3125,NA,NA,0.675,0.725,NA
21,0,0.9875,NA,NA,0.2875,0.35,NA
22,0,0.7875,NA,NA,0.3875,0.375,NA
23,0,0.4125,NA,NA,0.525,0.6,NA
24,0,0.3375,NA,NA,0.45,0.7625,NA
1,21,0.2,5.525,1.65,0.2,0.175,NA
2,21,1.125,3.625,0.9,1.075,0.975,NA
3,21,1.575,4.27,2.625,0.55,1.275,NA
4,21,1.65,4.975,3,1.2,1.375,NA
5,21,0.75,4.025,2.85,0.65,0.775,NA
6,21,0.35,2.8,1.2,0.525,0.7,NA
7,21,1.6,6.2,4.375,0.6,1.4,NA
8,21,0.8,4.4,0.9,1.4,1.525,NA
9,21,0.475,3.275,0.95,0.775,1.025,NA
10,21,0.7,3.025,1.1,1.4,0.55,NA
11,21,0.55,2.95,1.225,0.95,0.875,NA
12,21,0.35,3.475,2.225,0.925,0.325,NA
13,21,0.5,3.7,0.2,1,0.45,NA
14,21,0.425,3.175,2.1,1.05,0.9,NA
15,21,0.35,1.9,1.025,0.575,0.825,NA
16,21,1.275,5.85,1.725,0.725,1.1175,NA
17,21,0,0.825,1.725,0.25,0.25,NA
18,21,0.925,5.8,2.4,1.225,0.75,NA
19,21,0.625,3.7,0.875,0.85,0.5,NA
20,21,0.95,4.825,1.625,0.85,0.325,NA
21,21,1.3,4.8,2.175,0.975,1.075,NA
22,21,1.25,4.9,2.075,0.925,0.925,NA
23,21,0.3,4.7,1.975,1.11,1.875,NA
24,21,0.65,5.625,1.4,1.45,0.85,NA
1,42,0.45,5.025,2.05,0.2,0.05,NA
2,42,0.25,3.65,2.2,0.175,0,NA
3,42,0.175,4.475,2.725,0.425,0.275,NA
4,42,0.4,5.525,1.95,0.225,0.2,NA
5,42,0.275,2.825,1.625,0.35,0.45,NA
6,42,0.175,1.475,0.25,0.275,0.05,NA
7,42,0.2,6.8,4.425,0.275,0.325,NA
8,42,0.125,4.6,0.425,0.575,0.05,NA
9,42,0.25,1.825,0.65,0.3,0.1,NA
10,42,0,2.575,0.825,0.3,0.1,NA
11,42,0.225,3,0.35,0.4,0.125,NA
12,42,0.2,2.85,1.375,0.125,0.05,NA
13,42,0.05,3.125,1.65,0.375,0.05,NA
14,42,0.275,3.05,1.7,0.375,0.1,NA
15,42,0.3,1.875,0.375,0.275,0.1,NA
16,42,0.2,4.3,1.075,0.425,0.05,NA
17,42,0,0.3,0,0,0,NA
18,42,0.1,4.875,0.975,0.475,0,NA
19,42,0.05,5.075,0.5,0.4,0,NA
20,42,0.35,4.025,0.85,0.55,0.2,NA
21,42,0.275,5.1,1.575,0.85,0.1,NA
22,42,0.25,4.725,2.125,0.25,0.2,NA
23,42,0.225,5.275,2.075,0.45,0.15,NA
24,42,0.45,4.45,1.3,1,0.1,NA
1,180,4.63,11.025,0,1.18,1.35,NA
2,180,1.93,3.75,1.225,0.90,0.85,NA
3,180,0.00,0,0,0.00,0.00,NA
4,180,5.08,11.75,0.25,1.18,1.88,NA
5,180,3.45,9,0,1.00,1.25,NA
6,180,1.40,3.725,0.35,0.65,0.58,NA
7,180,5.23,13.3,0.075,1.68,2.00,NA
8,180,0.00,0,0,0.00,0.00,NA
9,180,3.70,5.7,0.35,0.80,1.13,NA
10,180,1.85,3.25,0.1,0.35,0.90,NA
11,180,0.00,0,0,0.00,0.00,NA
12,180,2.90,8.2,0.35,0.98,1.40,NA
13,180,2.33,5.675,0.75,1.00,0.93,NA
14,180,2.08,4.1,0.3,1.25,1.48,NA
15,180,1.83,4.575,0.975,0.75,0.43,NA
16,180,0.93,1.525,1.8,0.30,0.38,NA
17,180,0.00,0,0,0.00,0.00,NA
18,180,1.18,4.25,1.225,0.50,0.20,NA
19,180,0.58,1.575,0.45,0.33,0.43,NA
20,180,2.08,6.9,0.4,1.00,1.45,NA
21,180,0.80,7.85,0.675,1.03,1.50,NA
22,180,0.00,0,0,0.00,0.00,NA
23,180,2.55,11.5,0.475,1.10,2.15,NA
24,180,0.13,4.9,0.925,1.68,0.18,NA
