Colony,Day,Total,Died,Survived
1,NA,NA,NA,NA
2,9,40,2,NA
3,9,40,6,NA
4,9,40,7,NA
5,9,40,4,NA
6,9,40,0,NA
7,9,40,4,NA
8,9,40,0,NA
9,NA,NA,NA,NA
10,9,40,1,NA
11,9,40,2,NA
12,9,40,2,NA
13,9,40,0,NA
14,9,40,0,NA
15,9,40,0,NA
16,9,40,0,NA
17,9,40,1,NA
18,9,40,0,NA
19,9,40,0,NA
20,NA,NA,NA,NA
21,9,40,2,NA
22,9,40,3,NA
23,9,40,0,NA
24,9,40,1,NA
1,NA,NA,NA,NA
2,12,40,2,NA
3,12,40,0,NA
4,12,40,7,NA
5,12,40,6,NA
6,12,40,2,NA
7,12,40,7,NA
8,12,40,15,NA
9,12,40,6,NA
10,12,40,1,NA
11,12,40,3,NA
12,12,40,6,NA
13,12,40,5,NA
14,12,40,1,NA
15,12,40,4,NA
16,12,40,2,NA
17,12,40,1,NA
18,12,40,5,NA
19,12,40,7,NA
20,NA,NA,NA,NA
21,12,40,10,NA
22,12,40,2,NA
23,12,40,5,NA
24,12,40,5,NA
1,16,40,4,NA
2,16,40,0,NA
3,16,40,6,NA
4,16,40,2,NA
5,16,40,4,NA
6,16,40,1,NA
7,16,40,3,NA
8,16,40,3,NA
9,16,40,5,NA
10,16,40,2,NA
11,16,40,2,NA
12,16,40,0,NA
13,16,40,1,NA
14,16,40,0,NA
15,16,40,1,NA
16,16,40,0,NA
17,16,40,3,NA
18,16,40,0,NA
19,16,40,1,NA
20,16,40,1,NA
21,16,40,5,NA
22,16,40,5,NA
23,16,40,2,NA
24,16,40,1,NA
1,19,40,2,NA
2,19,40,3,NA
3,19,40,4,NA
4,19,40,8,NA
5,19,40,11,NA
6,19,40,4,NA
7,19,40,4,NA
8,19,40,4,NA
9,19,40,1,NA
10,19,40,0,NA
11,19,40,1,NA
12,19,40,1,NA
13,19,40,5,NA
14,19,40,3,NA
15,19,40,1,NA
16,19,40,5,NA
17,19,40,7,NA
18,NA,NA,NA,NA
19,19,40,1,NA
20,19,40,0,NA
21,19,40,2,NA
22,19,40,4,NA
23,19,40,3,NA
24,19,40,11,NA
1,23,40,2,NA
2,23,40,9,NA
3,23,40,9,NA
4,23,40,11,NA
5,23,40,8,NA
6,23,40,1,NA
7,23,40,11,NA
8,23,40,3,NA
9,23,40,11,NA
10,23,40,9,NA
11,23,40,6,NA
12,23,40,8,NA
13,23,40,2,NA
14,23,40,3,NA
15,23,40,1,NA
16,23,40,3,NA
17,23,40,4,NA
18,23,40,0,NA
19,23,40,2,NA
20,23,40,2,NA
