Colony,Day,MiteDrop,Time
1,29,2,48
2,29,11,48
3,29,18,48
4,29,16,48
5,29,21,48
6,29,7,48
7,29,17,48
8,29,8,48
9,29,2,48
10,29,6,48
11,29,14,48
12,29,26,48
13,29,17,48
14,29,15,48
15,29,8,48
16,29,3,48
17,29,3,48
18,29,10,48
19,29,33,48
20,29,4,48
21,29,9,48
22,29,10,48
23,29,8,48
24,29,10,48
1,50,14,48
2,50,21,48
3,50,34,48
4,50,37,48
5,50,64,48
6,50,20,48
7,50,30,48
8,50,59,48
9,50,41,48
10,50,26,48
11,50,32,48
12,50,45,48
13,50,53,48
14,50,66,48
15,50,47,48
16,50,51,48
17,50,99,48
18,50,28,48
19,50,46,48
20,50,37,48
21,50,90,48
22,50,38,48
23,50,34,48
24,50,67,48
1,80,178,48
2,80,53,48
3,80,153,48
4,80,122,48
5,80,241,48
6,80,27,48
7,80,243,48
8,80,255,48
9,80,275,48
10,80,11,48
11,80,114,48
12,80,179,48
13,80,257,48
14,80,264,48
15,80,395,48
16,80,260,48
17,80,439,48
18,80,136,48
19,80,315,48
20,80,123,48
21,80,241,48
22,80,17,48
23,80,544,48
24,80,399,48
