Colony,Day,MiteWash,Bees
1,0,3,300
2,0,4,300
3,0,3,300
4,0,3,300
5,0,7,300
6,0,5,300
7,0,1,300
8,0,3,300
9,0,1,300
10,0,2,300
11,0,2,300
12,0,0,300
13,0,2,300
14,0,2,300
15,0,0,300
16,0,0,300
17,0,3,300
18,0,3,300
19,0,4,300
20,0,2,300
21,0,10,300
22,0,4,300
23,0,1,300
24,0,1,300
1,27,0,300
2,27,5,300
3,27,9,300
4,27,4,300
5,27,6,300
6,27,4,300
7,27,8,300
8,27,3,300
9,27,8,300
10,27,2,300
11,27,3,300
12,27,7,300
13,27,8,300
14,27,7,300
15,27,11,300
16,27,1,300
17,27,11,300
18,27,17,300
19,27,9,300
20,27,2,300
21,27,4,300
22,27,4,300
23,27,8,300
24,27,6,300
1,51,7,300
2,51,13,300
3,51,19,300
4,51,7,300
5,51,22,300
6,51,13,300
7,51,9,300
8,51,8,300
9,51,4,300
10,51,10,300
11,51,6,300
12,51,7,300
13,51,11,300
14,51,8,300
15,51,9,300
16,51,10,300
17,51,14,300
18,51,16,300
19,51,10,300
20,51,5,300
21,51,24,300
22,51,4,300
23,51,13,300
24,51,7,300
1,79,29,300
2,79,11,300
3,79,21,300
4,79,29,300
5,79,34,300
6,79,37,300
7,79,39,300
8,79,53,300
9,79,33,300
10,79,19,300
11,79,40,300
12,79,64,300
13,79,74,300
14,79,43,300
15,79,60,300
16,79,67,300
17,79,44,300
18,79,27,300
19,79,57,300
20,79,51,300
21,79,101,300
22,79,36,300
23,79,44,300
24,79,63,300
