"Colony","Day","Multiplier","PollenWeightG"
1,1,1,20.62
2,1,1,24.02
3,1,1,28.6
4,1,1,10.86
5,1,1,19.15
6,1,1,4.17
7,1,1,47.34
8,1,1,53.11
9,1,1,27.4
10,1,1,27.45
11,1,1,25.26
12,1,1,33.96
13,1,1,29.23
14,1,1,24.31
15,1,1,46.53
16,1,1,45.01
17,1,1,27.49
18,1,1,25.52
19,1,1,33.19
20,1,1,27.1
21,1,1,29.07
22,1,1,26.06
23,1,1,54.32
24,1,1,38.32
1,2,1,26.52
2,2,1,30.74
3,2,1,32.93
4,2,1,17.92
5,2,1,28.35
6,2,1,4.6
7,2,1,57.09
8,2,1,70.7
9,2,1,43.07
10,2,1,45.94
11,2,1,35.44
12,2,1,53.08
13,2,1,34.44
14,2,1,37.17
15,2,1,54.97
16,2,1,58.25
17,2,1,69.85
18,2,1,42.68
19,2,1,55.94
20,2,1,44.97
21,2,1,46.86
22,2,1,51.44
23,2,1,69.2
24,2,1,63.24
1,3,1,20.63
2,3,1,41.18
3,3,1,19.29
4,3,1,12.17
5,3,1,16.1
6,3,1,3.6
7,3,1,41.22
8,3,1,45.13
9,3,1,16.25
10,3,1,32.85
11,3,1,11.61
12,3,1,NA
13,3,1,19.48
14,3,1,NA
15,3,1,41.1
16,3,1,33.88
17,3,1,44.1
18,3,1,23.44
19,3,1,29.9
20,3,1,32.05
21,3,1,30.59
22,3,1,38.2
23,3,1,36.7
24,3,1,48.05
1,4,1,45.01
2,4,1,92.31
3,4,1,70.17
4,4,1,38.8
5,4,1,62.01
6,4,1,11.76
7,4,1,138.58
8,4,1,111.45
9,4,1,62.8
10,4,1,78.54
11,4,1,57.12
12,4,1,74.71
13,4,1,71.63
14,4,1,78.92
15,4,1,100.07
16,4,1,86.89
17,4,1,121.02
18,4,1,55.07
19,4,1,61.59
20,4,1,45.82
21,4,1,57.86
22,4,1,65.23
23,4,1,80.78
24,4,1,88.05
1,5,1,69.72
2,5,1,132.64
3,5,1,96.61
4,5,1,71.47
5,5,1,72.66
6,5,1,29.73
7,5,1,157.32
8,5,1,121.7
9,5,1,85.06
10,5,1,109.97
11,5,1,64.58
12,5,1,106.47
13,5,1,85.16
14,5,1,93.95
15,5,1,120.8
16,5,1,111.54
17,5,1,162.78
18,5,1,67.78
19,5,1,79.4
20,5,1,51.24
21,5,1,68.55
22,5,1,88.09
23,5,1,110.92
24,5,1,96.35
1,6,1,32.45
2,6,1,54.15
3,6,1,59.42
4,6,1,37.2
5,6,1,41.19
6,6,1,15.93
7,6,1,86.75
8,6,1,82.13
9,6,1,48.98
10,6,1,67.27
11,6,1,42.42
12,6,1,64.57
13,6,1,48.7
14,6,1,48.03
15,6,1,74.81
16,6,1,9.8
17,6,1,97.81
18,6,1,35.11
19,6,1,32.34
20,6,1,27.56
21,6,1,38.78
22,6,1,53.54
23,6,1,57.95
24,6,1,58.45
1,7,1,50.05
2,7,1,71.48
3,7,1,87.07
4,7,1,56.63
5,7,1,55.19
6,7,1,12.83
7,7,1,115.01
8,7,1,109.69
9,7,1,62.02
10,7,1,80.07
11,7,1,43.67
12,7,1,81.37
13,7,1,50.22
14,7,1,54.88
15,7,1,74.46
16,7,1,32.41
17,7,1,111.61
18,7,1,38.87
19,7,1,52.85
20,7,1,36.1
21,7,1,47.8
22,7,1,61.41
23,7,1,65.41
24,7,1,54.52
1,8,1,43.24
2,8,1,77.1
3,8,1,87.52
4,8,1,45.79
5,8,1,40.58
6,8,1,9.77
7,8,1,82.27
8,8,1,94.53
9,8,1,60.27
10,8,1,71.81
11,8,1,52.75
12,8,1,65.75
13,8,1,37.99
14,8,1,44.17
15,8,1,63.42
16,8,1,17.63
17,8,1,98.31
18,8,1,27
19,8,1,46.25
20,8,1,23.48
21,8,1,41.26
22,8,1,46.52
23,8,1,65.69
24,8,1,26.65
1,9,1,55.08
2,9,1,98.31
3,9,1,130.73
4,9,1,49.35
5,9,1,45.44
6,9,1,16.13
7,9,1,91.41
8,9,1,51.62
9,9,1,70.21
10,9,1,70.88
11,9,1,66.27
12,9,1,65.78
13,9,1,53.33
14,9,1,60.17
15,9,1,74.73
16,9,1,72.24
17,9,1,136.1
18,9,1,34.95
19,9,1,65.08
20,9,1,32.46
21,9,1,58.82
22,9,1,52.54
23,9,1,105.14
24,9,1,33.79
1,10,1,61.98
2,10,1,113.78
3,10,1,176.61
4,10,1,91.71
5,10,1,66.78
6,10,1,17.4
7,10,1,113.78
8,10,1,134.78
9,10,1,85.91
10,10,1,103.72
11,10,1,67.18
12,10,1,120.28
13,10,1,59.81
14,10,1,82.46
15,10,1,91.26
16,10,1,80.25
17,10,1,162.15
18,10,1,32.8
19,10,1,72.02
20,10,1,38.83
21,10,1,76.58
22,10,1,62.68
23,10,1,131.51
24,10,1,54.2
1,11,1,70.65
2,11,1,106.2
3,11,1,136.59
4,11,1,86.68
5,11,1,58.88
6,11,1,27.62
7,11,1,105.81
8,11,1,132.05
9,11,1,92.39
10,11,1,91.71
11,11,1,71.74
12,11,1,92.88
13,11,1,60.7
14,11,1,82.13
15,11,1,102.66
16,11,1,82.83
17,11,1,172.32
18,11,1,32.33
19,11,1,72.72
20,11,1,42.84
21,11,1,75.01
22,11,1,65.2
23,11,1,135.89
24,11,1,55.3
1,12,1,131.56
2,12,1,184.6
3,12,1,241.31
4,12,1,154.4
5,12,1,98.5
6,12,1,48.8
7,12,1,201.01
8,12,1,157.66
9,12,1,228.16
