Colony,Day,BeesT0,BeesT120,Recruitment
1,17,13,38,25
2,17,5,17,12
3,17,6,27,21
4,17,29,35,6
5,17,8,7,-1
6,17,5,74,69
7,17,10,86,76
8,17,3,48,45
9,17,NA,50,NA
10,17,26,45,19
12,17,29,122,93
13,17,3,22,19
16,17,5,46,41
17,17,10,160,150
18,17,11,42,31
19,17,9,47,38
21,17,17,79,62
22,17,NA,45,NA
1,21,2,85,83
2,21,17,92,75
3,21,9,113,104
4,21,27,111,84
5,21,11,16,5
6,21,2,99,97
7,21,13,87,74
8,21,7,79,72
9,21,17,65,48
10,21,11,95,84
12,21,22,228,206
13,21,10,35,25
16,21,13,125,112
17,21,7,70,63
18,21,10,164,154
19,21,18,42,24
21,21,9,32,23
22,21,10,53,43
1,24,8,83,75
2,24,4,113,109
3,24,7,120,113
4,24,24,177,153
5,24,4,16,12
6,24,3,81,78
7,24,24,169,145
8,24,3,10,7
9,24,1,40,39
10,24,4,91,87
12,24,12,80,68
13,24,5,13,8
16,24,7,65,58
17,24,1,40,39
18,24,9,24,15
19,24,3,11,8
21,24,1,2,1
22,24,2,16,14
1,27,7,129,122
2,27,3,70,67
3,27,21,189,168
4,27,31,252,221
5,27,11,103,92
6,27,22,197,175
7,27,35,203,168
8,27,3,75,72
9,27,15,107,92
10,27,56,183,127
12,27,27,230,203
13,27,39,224,185
16,27,48,230,182
17,27,11,115,104
18,27,7,138,131
19,27,21,109,88
21,27,13,114,101
22,27,13,161,148
1,30,17,65,48
2,30,18,135,117
3,30,10,119,109
4,30,43,141,98
5,30,15,67,52
6,30,12,96,84
7,30,18,165,147
8,30,10,133,123
9,30,45,80,35
10,30,51,393,342
12,30,66,387,321
13,30,72,405,333
16,30,42,409,367
17,30,24,231,207
18,30,23,180,157
19,30,22,97,75
21,30,28,212,184
22,30,39,128,89
