Colony,Day,Total,Survived
13,6,20,17
10,6,20,19
11,6,NA,NA
12,6,20,18
14,6,20,14
15,6,NA,NA
16,6,20,19
17,6,20,1
18,6,20,5
19,6,20,20
20,6,20,19
21,6,20,14
1,6,20,14
2,6,20,8
3,6,20,20
4,6,20,20
5,6,20,19
6,6,20,11
7,6,20,19
8,6,20,13
9,6,20,17
22,6,20,19
13,9,20,17
10,9,20,19
11,9,NA,NA
12,9,20,19
14,9,20,19
15,9,NA,NA
16,9,20,18
17,9,20,17
18,9,20,3
19,9,20,16
20,9,NA,NA
21,9,20,12
1,9,20,20
2,9,20,20
3,9,20,20
4,9,20,17
5,9,20,20
6,9,20,20
7,9,20,20
8,9,20,20
9,9,20,20
22,9,20,20
1,12,20,20
2,12,20,19
3,12,20,19
4,12,20,20
5,12,20,17
6,12,20,20
7,12,20,20
8,12,20,16
9,12,20,15
22,12,20,20
13,12,20,20
10,12,20,17
12,12,20,20
16,12,20,13
17,12,20,17
18,12,20,19
19,12,20,13
21,12,20,19
1,16,20,19
2,16,20,20
3,16,20,19
4,16,20,16
5,16,20,16
6,16,20,20
7,16,20,20
8,16,20,20
9,16,20,14
22,16,20,19
13,16,20,10
10,16,20,19
12,16,20,19
16,16,20,20
17,16,20,18
18,16,20,14
19,16,20,17
21,16,20,19
