Colony,Day,MiteDrop,Time
1,0,3,48
2,0,6,48
3,0,15,48
4,0,27,48
5,0,26,48
6,0,4,48
7,0,14,48
8,0,24,48
9,0,14,48
22,0,40,48
10,0,10,48
11,0,11,48
12,0,14,48
13,0,9,48
14,0,11,48
15,0,10,48
16,0,29,48
17,0,15,48
18,0,10,48
19,0,14,48
20,0,17,48
21,0,3,48
1,27,10,48
2,27,16,48
3,27,34,48
4,27,111,48
5,27,14,48
6,27,15,48
7,27,57,48
8,27,32,48
9,27,71,48
22,27,78,48
10,27,22,48
12,27,17,48
13,27,17,48
16,27,15,48
17,27,6,48
18,27,19,48
19,27,25,48
21,27,18,48
1,55,41,48
2,55,78,48
3,55,162,48
4,55,248,48
5,55,111,48
6,55,70,48
7,55,279,48
8,55,223,48
9,55,194,48
22,55,169,48
10,55,13,48
12,55,10,48
13,55,3,48
16,55,11,48
17,55,8,48
18,55,19,48
19,55,6,48
21,55,10,48
1,84,90,48
2,84,52,48
3,84,57,48
4,84,98,48
5,84,87,48
6,84,23,48
7,84,71,48
8,84,50,48
22,84,16,48
10,84,39,48
12,84,14,48
13,84,16,48
16,84,52,48
17,84,24,48
18,84,24,48
19,84,14,48
21,84,14,48
1,37,10,48
2,37,16,48
3,37,34,48
4,37,111,48
5,37,14,48
6,37,15,48
7,37,57,48
8,37,32,48
9,37,71,48
22,37,78,48
23,37,NA,48
24,37,NA,48
10,37,22,48
11,37,NA,48
12,37,17,48
13,37,17,48
14,37,NA,48
15,37,NA,48
16,37,15,48
17,37,6,48
18,37,19,48
19,37,25,48
20,37,NA,48
21,37,18,48
