Colony,Day,PollenWeightG
5,27,93
2,27,103
4,27,202
1,27,212
19,27,82
18,27,93
17,27,106
9,27,195
10,27,105
16,27,129
8,27,176
7,27,59
13,27,58
12,27,243
3,27,186
6,27,103
21,27,100
22,27,400
5,35,41
2,35,40
1,35,84
19,35,32
16,35,82
12,35,107
17,35,60
6,35,55
21,35,67
18,35,65
3,35,84
4,35,100
7,35,10
10,35,63
13,35,96
9,35,210
22,35,179
8,35,109
6,30,77
19,30,102
22,30,311
2,30,111
18,30,144
17,30,171
3,30,102
1,30,137
8,30,153
7,30,43
9,30,305
13,30,176
4,30,96
5,30,74
12,30,338
16,30,228
10,30,140
21,30,135
10,23,26
13,23,30
8,23,65
1,23,58
16,23,30
17,23,30
12,23,46
21,23,39
19,23,31
18,23,40
3,23,58
9,23,81
4,23,76
2,23,42
7,23,18
6,23,44
5,23,40
22,23,201
6,20,26
8,20,53
10,20,52
13,20,58
12,20,103
22,20,121
7,20,16
9,20,63
17,20,61
19,20,67
18,20,66
3,20,34
16,20,51
21,20,67
5,20,32
4,20,67
1,20,29
2,20,21
6,16,15
5,16,17
4,16,51
3,16,36
22,16,78
9,16,15
21,16,48
13,16,49
2,16,8
7,16,6
8,16,32
10,16,45
11,16,51
14,16,40
15,16,50
1,16,10
12,16,63
16,16,36
18,16,78
20,16,34
19,16,56
17,16,53
11,13,55
16,13,34
18,13,56
13,13,30
6,13,11
8,13,25
7,13,7
4,13,26
9,13,12
22,13,56
19,13,54
5,13,11
21,13,32
20,13,25
15,13,43
10,13,41
17,13,40
14,13,45
12,13,66
3,13,28
2,13,7
1,13,9
4,8,9
13,8,8
3,8,16
10,8,14
14,8,10
2,8,9
1,8,10
5,8,8
15,8,16
16,8,11
17,8,9
19,8,17
20,8,7
8,8,21
21,8,8
6,8,8
22,8,44
9,8,14
11,8,20
18,8,17
7,8,7
12,8,26
13,10,13
18,10,26
19,10,19
11,10,25
12,10,46
21,10,12
17,10,16
20,10,9
10,10,21
15,10,22
14,10,20
22,10,48
1,10,14
2,10,8
3,10,23
5,10,8
8,10,30
4,10,29
9,10,12
7,10,8
6,10,10
16,10,14
