Colony,Day,Brood,Bees,Assessor
1,0,1.3,NA,Jack
2,0,0.55,NA,Jack
3,0,1.55,NA,Jack
4,0,NA,NA,Jack
5,0,NA,NA,Jack
6,0,NA,NA,Jack
7,0,0.8,NA,Jack
8,0,1.2,NA,Jack
9,0,1.6,NA,Jack
10,0,1.8,NA,Jack
11,0,1.75,NA,Jack
12,0,0.75,NA,Jack
13,0,NA,NA,Jack
14,0,NA,NA,Jack
15,0,NA,NA,Jack
16,0,1.95,NA,Jack
17,0,0.8,NA,Jack
18,0,0.8,NA,Jack
19,0,NA,NA,Jack
20,0,NA,NA,Jack
21,0,NA,NA,Jack
22,0,NA,NA,Jack
23,0,NA,NA,Jack
24,0,NA,NA,Jack
1,0,1.35,NA,Wes
2,0,0.65,NA,Wes
3,0,1.7,NA,Wes
4,0,NA,NA,Wes
5,0,NA,NA,Wes
6,0,NA,NA,Wes
7,0,0.95,NA,Wes
8,0,1.05,NA,Wes
9,0,1.55,NA,Wes
10,0,1.8,NA,Wes
11,0,1.9,NA,Wes
12,0,0.6,NA,Wes
13,0,NA,NA,Wes
14,0,NA,NA,Wes
15,0,NA,NA,Wes
16,0,1.8,NA,Wes
17,0,0.7,NA,Wes
18,0,0.75,NA,Wes
19,0,NA,NA,Wes
20,0,NA,NA,Wes
21,0,NA,NA,Wes
22,0,NA,NA,Wes
23,0,NA,NA,Wes
24,0,NA,NA,Wes
1,37,2.1,7.7,Jack
2,37,1.9,4.35,Jack
3,37,3.5,9.95,Jack
4,37,5.2,13.35,Jack
5,37,2.9,10.95,Jack
6,37,3.2,8.6,Jack
7,37,3.5,11.55,Jack
8,37,2.4,7.25,Jack
9,37,2.3,7.8,Jack
22,37,3.2,7.65,Jack
23,37,NA,NA,Jack
24,37,NA,NA,Jack
10,37,4.8,10.3,Jack
11,37,NA,NA,Jack
12,37,4.7,10.4,Jack
13,37,3.9,8.1,Jack
14,37,NA,NA,Jack
15,37,NA,NA,Jack
16,37,4.1,11.3,Jack
17,37,2.9,7,Jack
18,37,3.6,5.95,Jack
19,37,2,4.6,Jack
20,37,NA,NA,Jack
21,37,2,6.25,Jack
1,37,1.8,7.9,Wes
2,37,1.7,4.85,Wes
3,37,3.3,11.15,Wes
4,37,4.7,13.75,Wes
5,37,2.4,10.45,Wes
6,37,3.2,8.6,Wes
7,37,3.2,11.95,Wes
8,37,2.5,7.35,Wes
9,37,2.4,7.1,Wes
22,37,3,7.95,Wes
23,37,NA,NA,Wes
24,37,NA,NA,Wes
10,37,4.3,10.9,Wes
11,37,NA,NA,Wes
12,37,4.8,11.5,Wes
13,37,3.5,8.2,Wes
14,37,NA,NA,Wes
15,37,NA,NA,Wes
16,37,3.9,11.3,Wes
17,37,3,7.1,Wes
18,37,3.7,6.55,Wes
19,37,1.9,4.8,Wes
20,37,NA,NA,Wes
21,37,1.7,6.95,Wes
1,55,0.7,5.95,Jack
2,55,1.1,5.9,Jack
3,55,0.9,8.35,Jack
4,55,0.5,12.15,Jack
5,55,1.6,6.5,Jack
6,55,1,8.25,Jack
7,55,1.9,10.75,Jack
8,55,1,6.05,Jack
9,55,0.8,6.2,Jack
22,55,1,7.55,Jack
10,55,0.7,9.85,Jack
12,55,0.2,11.35,Jack
13,55,1,10.45,Jack
16,55,0.8,10.75,Jack
17,55,0.8,6.45,Jack
18,55,1,6.5,Jack
19,55,0.7,6.75,Jack
21,55,0.6,4.8,Jack
1,55,0.8,6,Wes
2,55,0.9,5.9,Wes
3,55,1.1,9.75,Wes
4,55,0.7,12.85,Wes
5,55,1.7,6.8,Wes
6,55,1.2,7.95,Wes
7,55,2,10.25,Wes
8,55,1.1,6.45,Wes
9,55,0.9,6.6,Wes
22,55,0.8,7.25,Wes
10,55,0.6,9.95,Wes
12,55,,10.95,Wes
13,55,0.9,9.85,Wes
16,55,0.6,11.25,Wes
17,55,0.6,6.45,Wes
18,55,0.8,5.9,Wes
19,55,0.9,6.75,Wes
21,55,0.5,5.7,Wes
1,84,0.1,3.55,Jack
2,84,0,2.5,Jack
3,84,0.2,2.95,Jack
4,84,0.2,4.7,Jack
5,84,0.2,4.85,Jack
6,84,0,5.6,Jack
7,84,0.3,3.7,Jack
8,84,0.2,3.5,Jack
22,84,0.3,1.55,Jack
10,84,1.1,10.15,Jack
12,84,0.5,6.95,Jack
13,84,0.8,6.9,Jack
16,84,0.7,11,Jack
17,84,0.3,7.15,Jack
18,84,0.5,2.3,Jack
19,84,0,4.55,Jack
21,84,0.4,5.15,Jack
1,84,0.3,3.25,Bobby
2,84,0.1,2.5,Bobby
3,84,0.2,3.05,Bobby
4,84,0.2,4.3,Bobby
5,84,0.1,4.95,Bobby
6,84,0,4.8,Bobby
7,84,0.4,4.1,Bobby
8,84,0.2,3.4,Bobby
22,84,0.4,1.35,Bobby
10,84,1.2,9.95,Bobby
12,84,0.4,6.75,Bobby
13,84,1,6.9,Bobby
16,84,0.8,10.6,Bobby
17,84,0.4,6.95,Bobby
18,84,0.5,2,Bobby
19,84,0,4.25,Bobby
21,84,0.3,4.95,Bobby
